iris2019,semaine_glissante,clage_65,ti_classe,td_classe,tp_classe
350240102,2022-01-05-2022-01-11,65,[500;1000[,[2500;Max],[10;15[
350240103,2022-01-05-2022-01-11,65,[0;10[,[2500;Max],[0;1[
350240104,2022-01-05-2022-01-11,65,[0;10[,[2500;Max],[0;1[
350240101,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[15;20[
350240102,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[15;20[
350240103,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[15;20[
350240104,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[10;15[
350240101,2022-01-06-2022-01-12,65,[250;500[,[2500;Max],[10;15[
350240102,2022-01-06-2022-01-12,65,[250;500[,[2500;Max],[5;10[
350240103,2022-01-06-2022-01-12,65,[150;250[,[2500;Max],[5;10[
350240104,2022-01-06-2022-01-12,65,[0;10[,[2500;Max],[0;1[
350240101,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[15;20[
350240102,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[15;20[
350240103,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[15;20[
350240104,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[15;20[
350240101,2022-01-07-2022-01-13,65,[250;500[,[2500;Max],[5;10[
350240102,2022-01-07-2022-01-13,65,[500;1000[,[2500;Max],[5;10[
350240103,2022-01-07-2022-01-13,65,[150;250[,[2000;2500[,[5;10[
350240104,2022-01-07-2022-01-13,65,[150;250[,[2500;Max],[5;10[
350240101,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[20;25[
350240102,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[15;20[
350240104,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[20;25[
350240101,2022-01-08-2022-01-14,65,[500;1000[,[2500;Max],[20;25[
350240102,2022-01-08-2022-01-14,65,[500;1000[,[2500;Max],[10;15[
350240103,2022-01-08-2022-01-14,65,[250;500[,[2000;2500[,[10;15[
350240104,2022-01-08-2022-01-14,65,[250;500[,[2500;Max],[5;10[
350240101,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[20;25[
350240102,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[15;20[
350240103,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[15;20[
350240101,2022-01-09-2022-01-15,65,[500;1000[,[2500;Max],[20;25[
350240102,2022-01-09-2022-01-15,65,[500;1000[,[2500;Max],[5;10[
350240103,2022-01-09-2022-01-15,65,[250;500[,[2000;2500[,[10;15[
350240104,2022-01-09-2022-01-15,65,[250;500[,[2500;Max],[5;10[
350240101,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[20;25[
350240102,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[15;20[
350240101,2022-01-10-2022-01-16,65,[500;1000[,[2500;Max],[20;25[
350240102,2022-01-10-2022-01-16,65,[500;1000[,[2500;Max],[10;15[
350240103,2022-01-10-2022-01-16,65,[250;500[,[2000;2500[,[10;15[
350240104,2022-01-10-2022-01-16,65,[250;500[,[2500;Max],[5;10[
350240101,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[25;30[
350240102,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[20;25[
350240101,2022-01-11-2022-01-17,65,[500;1000[,[2500;Max],[15;20[
350240102,2022-01-11-2022-01-17,65,[500;1000[,[2500;Max],[15;20[
350240103,2022-01-11-2022-01-17,65,[250;500[,[2500;Max],[10;15[
350240104,2022-01-11-2022-01-17,65,[250;500[,[2500;Max],[5;10[
350240101,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[25;30[
350240102,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[20;25[
350240101,2022-01-12-2022-01-18,65,[500;1000[,[2500;Max],[10;15[
350240102,2022-01-12-2022-01-18,65,[500;1000[,[2500;Max],[15;20[
350240103,2022-01-12-2022-01-18,65,[500;1000[,[2500;Max],[15;20[
350240104,2022-01-12-2022-01-18,65,[250;500[,[2500;Max],[5;10[
350240101,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[30;Max]
350240102,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[25;30[
350240103,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[25;30[
350240101,2022-01-13-2022-01-19,65,[500;1000[,[2500;Max],[15;20[
350240102,2022-01-13-2022-01-19,65,[500;1000[,[2500;Max],[15;20[
350240103,2022-01-13-2022-01-19,65,[250;500[,[2500;Max],[5;10[
350240104,2022-01-13-2022-01-19,65,[500;1000[,[2500;Max],[15;20[
350240101,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[30;Max]
350240102,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[20;25[
350240104,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[25;30[
350240101,2022-01-14-2022-01-20,65,[500;1000[,[2500;Max],[20;25[
350240102,2022-01-14-2022-01-20,65,[1000;Max],[2500;Max],[15;20[
350240103,2022-01-14-2022-01-20,65,[250;500[,[2500;Max],[5;10[
350240104,2022-01-14-2022-01-20,65,[500;1000[,[2500;Max],[10;15[
350240101,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[30;Max]
350240102,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[25;30[
350240103,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[25;30[
350240104,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[25;30[
350240101,2022-01-15-2022-01-21,65,[500;1000[,[2500;Max],[10;15[
350240102,2022-01-15-2022-01-21,65,[1000;Max],[2500;Max],[20;25[
350240103,2022-01-15-2022-01-21,65,[250;500[,[2500;Max],[5;10[
350240104,2022-01-15-2022-01-21,65,[500;1000[,[2500;Max],[15;20[
350320000,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[5;10[
350320000,2021-12-16-2021-12-22,65,[0;10[,[2000;2500[,[0;1[
350320000,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350320000,2021-12-17-2021-12-23,65,[0;10[,[2500;Max],[0;1[
350320000,2021-12-18-2021-12-24,0,[250;500[,[2500;Max],[5;10[
350320000,2021-12-18-2021-12-24,65,[0;10[,[2500;Max],[0;1[
350320000,2021-12-19-2021-12-25,0,[250;500[,[2500;Max],[5;10[
350320000,2021-12-19-2021-12-25,65,[0;10[,[2500;Max],[0;1[
350320000,2021-12-20-2021-12-26,0,[250;500[,[2500;Max],[5;10[
350320000,2021-12-20-2021-12-26,65,[0;10[,[2500;Max],[0;1[
350320000,2021-12-21-2021-12-27,0,[500;1000[,[2500;Max],[5;10[
350320000,2021-12-21-2021-12-27,65,[150;250[,[2500;Max],[5;10[
350320000,2021-12-22-2021-12-28,0,[1000;Max],[2500;Max],[10;15[
350320000,2021-12-22-2021-12-28,65,[250;500[,[2500;Max],[5;10[
350320000,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350320000,2021-12-23-2021-12-29,65,[250;500[,[2500;Max],[5;10[
350320000,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[15;20[
350320000,2021-12-24-2021-12-30,65,[500;1000[,[2500;Max],[10;15[
350320000,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[15;20[
350320000,2021-12-25-2021-12-31,65,[500;1000[,[2500;Max],[15;20[
350320000,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[15;20[
350320000,2021-12-26-2022-01-01,65,[500;1000[,[2500;Max],[15;20[
350320000,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[15;20[
350320000,2021-12-27-2022-01-02,65,[500;1000[,[2500;Max],[15;20[
350320000,2021-12-28-2022-01-03,0,[1000;Max],[2500;Max],[20;25[
350320000,2021-12-28-2022-01-03,65,[250;500[,[2500;Max],[10;15[
350320000,2021-12-29-2022-01-04,0,[1000;Max],[2500;Max],[20;25[
350320000,2021-12-29-2022-01-04,65,[250;500[,[2500;Max],[10;15[
350320000,2021-12-30-2022-01-05,0,[1000;Max],[2500;Max],[20;25[
350320000,2021-12-30-2022-01-05,65,[250;500[,[2500;Max],[10;15[
350320000,2021-12-31-2022-01-06,0,[1000;Max],[2500;Max],[20;25[
350320000,2021-12-31-2022-01-06,65,[250;500[,[2500;Max],[5;10[
350320000,2022-01-01-2022-01-07,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-01-2022-01-07,65,[250;500[,[2500;Max],[5;10[
350320000,2022-01-02-2022-01-08,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-02-2022-01-08,65,[250;500[,[2500;Max],[5;10[
350320000,2022-01-03-2022-01-09,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-03-2022-01-09,65,[250;500[,[2500;Max],[5;10[
350320000,2022-01-04-2022-01-10,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-04-2022-01-10,65,[500;1000[,[2500;Max],[10;15[
350320000,2022-01-05-2022-01-11,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-05-2022-01-11,65,[500;1000[,[2500;Max],[5;10[
350320000,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-06-2022-01-12,65,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[15;20[
350320000,2022-01-07-2022-01-13,65,[500;1000[,[2500;Max],[10;15[
350320000,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[20;25[
350320000,2022-01-08-2022-01-14,65,[500;1000[,[2500;Max],[10;15[
350320000,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[20;25[
350320000,2022-01-09-2022-01-15,65,[500;1000[,[2500;Max],[10;15[
350320000,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[20;25[
350320000,2022-01-10-2022-01-16,65,[500;1000[,[2500;Max],[10;15[
350320000,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[25;30[
350320000,2022-01-11-2022-01-17,65,[500;1000[,[2500;Max],[15;20[
350320000,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[25;30[
350320000,2022-01-12-2022-01-18,65,[500;1000[,[2500;Max],[25;30[
350320000,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[30;Max]
350320000,2022-01-13-2022-01-19,65,[250;500[,[2500;Max],[15;20[
350320000,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[30;Max]
350320000,2022-01-14-2022-01-20,65,[250;500[,[2500;Max],[15;20[
350320000,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[30;Max]
350320000,2022-01-15-2022-01-21,65,[500;1000[,[2500;Max],[15;20[
350390000,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[5;10[
350390000,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[0;1[
350390000,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[5;10[
350390000,2021-12-17-2021-12-23,65,[50;150[,[2500;Max],[1;5[
350390000,2021-12-18-2021-12-24,0,[500;1000[,[2500;Max],[5;10[
350390000,2021-12-18-2021-12-24,65,[50;150[,[2500;Max],[1;5[
350390000,2021-12-19-2021-12-25,0,[500;1000[,[2500;Max],[5;10[
350390000,2021-12-19-2021-12-25,65,[20;50[,[2500;Max],[0;1[
350390000,2021-12-20-2021-12-26,0,[500;1000[,[2500;Max],[5;10[
350390000,2021-12-20-2021-12-26,65,[20;50[,[2500;Max],[0;1[
350390000,2021-12-21-2021-12-27,0,[1000;Max],[2500;Max],[10;15[
350390000,2021-12-21-2021-12-27,65,[250;500[,[2500;Max],[10;15[
350390000,2021-12-22-2021-12-28,0,[1000;Max],[2500;Max],[10;15[
350390000,2021-12-22-2021-12-28,65,[250;500[,[2500;Max],[10;15[
350390000,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350390000,2021-12-23-2021-12-29,65,[250;500[,[2500;Max],[15;20[
350390000,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[15;20[
350390000,2021-12-24-2021-12-30,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[15;20[
350390000,2021-12-25-2021-12-31,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[15;20[
350390000,2021-12-26-2022-01-01,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[15;20[
350390000,2021-12-27-2022-01-02,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-28-2022-01-03,0,[1000;Max],[2500;Max],[20;25[
350390000,2021-12-28-2022-01-03,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-29-2022-01-04,0,[1000;Max],[2500;Max],[20;25[
350390000,2021-12-29-2022-01-04,65,[0;10[,[2500;Max],[0;1[
350390000,2021-12-30-2022-01-05,0,[1000;Max],[2500;Max],[20;25[
350390000,2021-12-30-2022-01-05,65,[50;150[,[2500;Max],[1;5[
350390000,2021-12-31-2022-01-06,0,[1000;Max],[2500;Max],[20;25[
350390000,2021-12-31-2022-01-06,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-01-2022-01-07,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-01-2022-01-07,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-02-2022-01-08,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-02-2022-01-08,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-03-2022-01-09,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-03-2022-01-09,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-04-2022-01-10,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-04-2022-01-10,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-05-2022-01-11,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-05-2022-01-11,65,[50;150[,[2500;Max],[1;5[
350390000,2022-01-06-2022-01-12,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-06-2022-01-12,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-07-2022-01-13,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-07-2022-01-13,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-08-2022-01-14,0,[1000;Max],[2500;Max],[20;25[
350390000,2022-01-08-2022-01-14,65,[0;10[,[2000;2500[,[0;1[
350390000,2022-01-09-2022-01-15,0,[1000;Max],[2500;Max],[25;30[
350390000,2022-01-09-2022-01-15,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-10-2022-01-16,0,[1000;Max],[2500;Max],[25;30[
350390000,2022-01-10-2022-01-16,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-11-2022-01-17,0,[1000;Max],[2500;Max],[25;30[
350390000,2022-01-11-2022-01-17,65,[0;10[,[2000;2500[,[0;1[
350390000,2022-01-12-2022-01-18,0,[1000;Max],[2500;Max],[30;Max]
350390000,2022-01-12-2022-01-18,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-13-2022-01-19,0,[1000;Max],[2500;Max],[30;Max]
350390000,2022-01-13-2022-01-19,65,[0;10[,[2500;Max],[0;1[
350390000,2022-01-14-2022-01-20,0,[1000;Max],[2500;Max],[30;Max]
350390000,2022-01-14-2022-01-20,65,[150;250[,[2500;Max],[5;10[
350390000,2022-01-15-2022-01-21,0,[1000;Max],[2500;Max],[30;Max]
350390000,2022-01-15-2022-01-21,65,[150;250[,[2500;Max],[1;5[
350470101,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[1;5[
350470102,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[1;5[
350470103,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[1;5[
350470104,2021-12-16-2021-12-22,0,[250;500[,[2500;Max],[1;5[
350470105,2021-12-16-2021-12-22,0,[150;250[,[2500;Max],[1;5[
350470106,2021-12-16-2021-12-22,0,[500;1000[,[2500;Max],[5;10[
350470101,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[1;5[
350470102,2021-12-16-2021-12-22,65,[150;250[,[2500;Max],[5;10[
350470103,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[0;1[
350470105,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[1;5[
350470106,2021-12-16-2021-12-22,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350470102,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350470103,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350470104,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350470105,2021-12-17-2021-12-23,0,[250;500[,[2500;Max],[1;5[
350470106,2021-12-17-2021-12-23,0,[500;1000[,[2500;Max],[5;10[
350470101,2021-12-17-2021-12-23,65,[150;250[,[2500;Max],[5;10[
350470102,2021-12-17-2021-12-23,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-17-2021-12-23,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-17-2021-12-23,65,[20;50[,[2500;Max],[0;1[
350470105,2021-12-17-2021-12-23,65,[20;50[,[2500;Max],[1;5[
350470106,2021-12-17-2021-12-23,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-18-2021-12-24,0,[250;500[,[2500;Max],[1;5[
350470102,2021-12-18-2021-12-24,0,[250;500[,[2500;Max],[1;5[
350470103,2021-12-18-2021-12-24,0,[500;1000[,[2500;Max],[5;10[
350470104,2021-12-18-2021-12-24,0,[250;500[,[2500;Max],[1;5[
350470105,2021-12-18-2021-12-24,0,[250;500[,[2500;Max],[1;5[
350470106,2021-12-18-2021-12-24,0,[500;1000[,[2500;Max],[5;10[
350470101,2021-12-18-2021-12-24,65,[250;500[,[2500;Max],[10;15[
350470102,2021-12-18-2021-12-24,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-18-2021-12-24,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-18-2021-12-24,65,[20;50[,[2500;Max],[0;1[
350470105,2021-12-18-2021-12-24,65,[20;50[,[2500;Max],[0;1[
350470106,2021-12-18-2021-12-24,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-19-2021-12-25,0,[250;500[,[2500;Max],[1;5[
350470102,2021-12-19-2021-12-25,0,[250;500[,[2500;Max],[1;5[
350470103,2021-12-19-2021-12-25,0,[500;1000[,[2500;Max],[5;10[
350470104,2021-12-19-2021-12-25,0,[250;500[,[2500;Max],[1;5[
350470105,2021-12-19-2021-12-25,0,[250;500[,[2500;Max],[1;5[
350470106,2021-12-19-2021-12-25,0,[500;1000[,[2500;Max],[5;10[
350470101,2021-12-19-2021-12-25,65,[250;500[,[2500;Max],[10;15[
350470102,2021-12-19-2021-12-25,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-19-2021-12-25,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-19-2021-12-25,65,[20;50[,[2500;Max],[0;1[
350470105,2021-12-19-2021-12-25,65,[20;50[,[2500;Max],[0;1[
350470106,2021-12-19-2021-12-25,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-20-2021-12-26,0,[250;500[,[2500;Max],[1;5[
350470102,2021-12-20-2021-12-26,0,[500;1000[,[2500;Max],[5;10[
350470103,2021-12-20-2021-12-26,0,[500;1000[,[2500;Max],[5;10[
350470104,2021-12-20-2021-12-26,0,[250;500[,[2500;Max],[5;10[
350470105,2021-12-20-2021-12-26,0,[250;500[,[2500;Max],[1;5[
350470106,2021-12-20-2021-12-26,0,[500;1000[,[2500;Max],[5;10[
350470101,2021-12-20-2021-12-26,65,[500;1000[,[2500;Max],[15;20[
350470102,2021-12-20-2021-12-26,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-20-2021-12-26,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-20-2021-12-26,65,[20;50[,[2500;Max],[0;1[
350470105,2021-12-20-2021-12-26,65,[20;50[,[2500;Max],[0;1[
350470106,2021-12-20-2021-12-26,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-21-2021-12-27,0,[250;500[,[2500;Max],[5;10[
350470102,2021-12-21-2021-12-27,0,[500;1000[,[2500;Max],[5;10[
350470103,2021-12-21-2021-12-27,0,[500;1000[,[2500;Max],[5;10[
350470104,2021-12-21-2021-12-27,0,[500;1000[,[2500;Max],[5;10[
350470105,2021-12-21-2021-12-27,0,[250;500[,[2500;Max],[5;10[
350470106,2021-12-21-2021-12-27,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-21-2021-12-27,65,[500;1000[,[2500;Max],[15;20[
350470102,2021-12-21-2021-12-27,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-21-2021-12-27,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-21-2021-12-27,65,[150;250[,[2500;Max],[1;5[
350470105,2021-12-21-2021-12-27,65,[20;50[,[2500;Max],[0;1[
350470106,2021-12-21-2021-12-27,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-22-2021-12-28,0,[500;1000[,[2500;Max],[5;10[
350470102,2021-12-22-2021-12-28,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-22-2021-12-28,0,[500;1000[,[2500;Max],[5;10[
350470104,2021-12-22-2021-12-28,0,[500;1000[,[2500;Max],[5;10[
350470105,2021-12-22-2021-12-28,0,[500;1000[,[2500;Max],[5;10[
350470106,2021-12-22-2021-12-28,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-22-2021-12-28,65,[500;1000[,[2500;Max],[15;20[
350470102,2021-12-22-2021-12-28,65,[250;500[,[2500;Max],[10;15[
350470103,2021-12-22-2021-12-28,65,[20;50[,[2500;Max],[0;1[
350470104,2021-12-22-2021-12-28,65,[250;500[,[2500;Max],[5;10[
350470105,2021-12-22-2021-12-28,65,[500;1000[,[2500;Max],[15;20[
350470106,2021-12-22-2021-12-28,65,[20;50[,[2500;Max],[0;1[
350470101,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350470102,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350470104,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350470105,2021-12-23-2021-12-29,0,[500;1000[,[2500;Max],[10;15[
350470106,2021-12-23-2021-12-29,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-23-2021-12-29,65,[1000;Max],[2500;Max],[15;20[
350470102,2021-12-23-2021-12-29,65,[500;1000[,[2500;Max],[10;15[
350470103,2021-12-23-2021-12-29,65,[0;10[,[2500;Max],[0;1[
350470104,2021-12-23-2021-12-29,65,[500;1000[,[2500;Max],[10;15[
350470105,2021-12-23-2021-12-29,65,[500;1000[,[2500;Max],[15;20[
350470106,2021-12-23-2021-12-29,65,[0;10[,[2500;Max],[0;1[
350470101,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[10;15[
350470102,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[10;15[
350470104,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[10;15[
350470105,2021-12-24-2021-12-30,0,[500;1000[,[2500;Max],[10;15[
350470106,2021-12-24-2021-12-30,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-24-2021-12-30,65,[500;1000[,[2500;Max],[10;15[
350470102,2021-12-24-2021-12-30,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-24-2021-12-30,65,[0;10[,[2500;Max],[0;1[
350470104,2021-12-24-2021-12-30,65,[500;1000[,[2500;Max],[15;20[
350470105,2021-12-24-2021-12-30,65,[500;1000[,[2500;Max],[10;15[
350470106,2021-12-24-2021-12-30,65,[0;10[,[2500;Max],[0;1[
350470101,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[15;20[
350470102,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[10;15[
350470104,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[10;15[
350470105,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[10;15[
350470106,2021-12-25-2021-12-31,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-25-2021-12-31,65,[500;1000[,[2500;Max],[10;15[
350470102,2021-12-25-2021-12-31,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-25-2021-12-31,65,[0;10[,[2500;Max],[0;1[
350470104,2021-12-25-2021-12-31,65,[500;1000[,[2500;Max],[15;20[
350470105,2021-12-25-2021-12-31,65,[500;1000[,[2500;Max],[20;25[
350470106,2021-12-25-2021-12-31,65,[0;10[,[2500;Max],[0;1[
350470101,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[15;20[
350470102,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[10;15[
350470104,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[10;15[
350470105,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[10;15[
350470106,2021-12-26-2022-01-01,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-26-2022-01-01,65,[500;1000[,[2500;Max],[10;15[
350470102,2021-12-26-2022-01-01,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-26-2022-01-01,65,[0;10[,[2500;Max],[0;1[
350470104,2021-12-26-2022-01-01,65,[500;1000[,[2500;Max],[15;20[
350470105,2021-12-26-2022-01-01,65,[500;1000[,[2500;Max],[20;25[
350470106,2021-12-26-2022-01-01,65,[0;10[,[2500;Max],[0;1[
350470101,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[15;20[
350470102,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[10;15[
350470103,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[5;10[
350470104,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[10;15[
350470105,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[10;15[
350470106,2021-12-27-2022-01-02,0,[1000;Max],[2500;Max],[10;15[
350470101,2021-12-27-2022-01-02,65,[500;1000[,[2500;Max],[10;15[
350470102,2021-12-27-2022-01-02,65,[250;500[,[2500;Max],[5;10[
350470103,2021-12-27-2022-01-02,65,[0;10[,[2500;Max],[0;1[
350470104,2021-12-27-2022-01-02,65,[500;1000[,[2500;Max],[15;20[
350470105,2021-12-27-2022-01-02,65,[500;1000[,[2500;Max],[20;25[
350470106,2021-12-27-2022-01-02,65,[0;10[,[2500;Max],[0;1[
350470101,2021-12-28-2022-01-03,0,[1000;Max],[2500;Max],[10;15[
